01/0001,"雜歌 / 泊瀬朝倉宮御宇天皇代 [<大>泊瀬稚武天皇] / 天皇御製歌","篭毛與 美篭母乳 布久思毛與 美夫君志持 此岳尓 菜採須兒 家吉閑名 告<紗>根 虚見津 山跡乃國者 押奈戸手 吾許曽居 師<吉>名倍手 吾己曽座 我<許>背齒 告目 家呼毛名雄母","篭もよ み篭持ち 堀串もよ み堀串持ち この岡に 菜摘ます子 家聞かな 告らさね そらみつ 大和の国は おしなべて 我れこそ居れ しきなべて 我れこそ座せ 我れこそば 告らめ 家をも名をも","こもよ みこもち ふくしもよ みぶくしもち このをかに なつますこ いへきかな のらさね そらみつ やまとのくには おしなべて われこそをれ しきなべて われこそませ われこそば のらめ いへをもなをも","なし","雑歌 [元][紀] <> / 太 -> 大 [紀][冷][文] / 吉 [玉小琴](塙)(楓) 告 /沙 -> 紗 [元][類][冷] / 告 -> 吉 [玉小琴] / 許者 -> 許 [元][類][古]","雑歌 作者：雄略天皇 朝倉宮 野遊び 演劇 妻問媿 予祝 枕詞 地名 奈良","こもよ[寛],#みこもち[寛],#ふくしもよ[寛],#みぶくしもち,[寛]みふくしもち,#このをかに[寛],#なつますこ,[寛]なつむすこ,#いへきかな[寛],#のらさね,[寛]つけさね,#そらみつ[寛],#やまとのくには[寛],#おしなべて,[寛]おしなへて,#われこそをれ,[寛]われこそをらし,#しきなべて,[寛]つけなへて,#われこそませ[略],[寛]われこそをらし,#われこそば,[寛]われこそは,#のらめ,[寛]せなにはつけめ,#いへをもなをも[寛],##"
03/0345,"（<大>宰帥大伴卿讃酒歌十三首）","價無 寳跡言十方 一坏乃 濁酒尓 豈益目八<方>","価なき宝といふとも一杯の濁れる酒にあにまさめやも","あたひなき たからといふとも ひとつきの にごれるさけに あにまさめやも","なし","<> -> 方 [類][古][紀]","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","あたひなき[寛],#たからといふとも[寛],#ひとつきの[寛],#にごれるさけに,[寛]にこれるさけに,#あにまさめやも,[寛]あにまさらめや,##"
03/0346,"（<大>宰帥大伴卿讃酒歌十三首）","夜光 玉跡言十方 酒飲而 情乎遣尓 豈若目八方","夜光る玉といふとも酒飲みて心を遣るにあにしかめやも","よるひかる たまといふとも さけのみて こころをやるに あにしかめやも","なし","なし","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","よるひかる[寛],#たまといふとも[寛],#さけのみて[寛],#こころをやるに[寛],#あにしかめやも[寛],##"
03/0347,"（<大>宰帥大伴卿讃酒歌十三首）","世間之 遊道尓 <怜>者 酔泣為尓 可有良師","世間の遊びの道に楽しきは酔ひ泣きするにあるべくあるらし","よのなかの あそびのみちに たのしきは ゑひなきするに あるべくあるらし","なし","冷 -> 怜 [玉嬥小琴] （塙） 冷","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","よのなかの[寛],#あそびのみちに,[寛]あそひのみちに,#たのしきは,[寛]ましらはは,#ゑひなきするに[寛],#あるべくあるらし,[寛]ありぬへからし,##"
03/0348,"（<大>宰帥大伴卿讃酒歌十三首）","今代尓之 樂有者 来生者 蟲尓鳥尓毛 吾羽成奈武","この世にし楽しくあらば来む世には虫に鳥にも我れはなりなむ","このよにし たのしくあらば こむよには むしにとりにも われはなりなむ","なし","なし","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","このよにし[寛],#たのしくあらば,[寛]たのしくあらは,#こむよには[寛],#むしにとりにも[寛],#われはなりなむ[寛],##"
03/0349,"（<大>宰帥大伴卿讃酒歌十三首）","生者 遂毛死 物尓有者 今生在間者 樂乎有名","生ける者遂にも死ぬるものにあればこの世なる間は楽しくをあらな","いけるもの つひにもしぬる ものにあれば このよなるまは たのしくをあらな","なし","なし","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","いけるもの,[寛]いけるひと,#つひにもしぬる,[寛]つゐにもしぬる,#ものにあれば,[寛]ものにあれは,#このよなるまは[寛],#たのしくをあらな[寛],##"
03/0350,"（<大>宰帥大伴卿讃酒歌十三首）","黙然居而 賢良為者 飲酒而 酔泣為尓 尚不如来","黙居りて賢しらするは酒飲みて酔ひ泣きするになほしかずけり","もだをりて さかしらするは さけのみて ゑひなきするに なほしかずけり","なし","なし","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","もだをりて,[寛]たたにゐて,#さかしらするは[寛],#さけのみて[寛],#ゑひなきするに[寛],#なほしかずけり,[寛]なをしかすけり,##"
03/0351,"沙弥満誓歌一首","世間乎 何物尓将譬 <旦>開 榜去師船之 跡無如","世間を何に譬へむ朝開き漕ぎ去にし船の跡なきごとし","よのなかを なににたとへむ あさびらき こぎいにしふねの あとなきごとし","なし","且 -> 旦 [古][紀][矢]","雑歌 作者：沙弥満誓 無常 太宰府 福岡 地名","よのなかを[寛],#なににたとへむ[寛],#あさびらき,[寛]あさひらき,#こぎいにしふねの,[寛]こきいにしふねの,#あとなきごとし,[寛]あとなきかこと,##"
03/0352,"若湯座王歌一首","葦邊波 鶴之哭鳴而 湖風 寒吹良武 津乎能埼羽毛","葦辺には鶴がね鳴きて港風寒く吹くらむ津乎の崎はも","あしへには たづがねなきて みなとかぜ さむくふくらむ つをのさきはも","なし","なし","雑歌 作者：若湯座王 津乎 滋賀県 羈旅 地名 動物","あしへには[寛],#たづがねなきて,[寛]たつかねなきて,#みなとかぜ,[寛]みなとかせ,#さむくふくらむ,[寛]さむくふくらむ,#つをのさきはも[寛],##"
03/0353,"釋通觀歌一首","見吉野之 高城乃山尓 白雲者 行憚而 棚引所見","み吉野の高城の山に白雲は行きはばかりてたなびけり見ゆ","みよしのの たかきのやまに しらくもは ゆきはばかりて たなびけりみゆ","なし","なし","雑歌 作者：釈通観 吉野 地名","みよしのの[寛],#たかきのやまに[寛],#しらくもは[寛],#ゆきはばかりて,[寛]ゆきははかりて,#たなびけりみゆ,[寛]たなひきてみゆ,##"
03/0354,"日置少老歌一首","縄乃浦尓 塩焼火氣 夕去者 行過不得而 山尓棚引","縄の浦に塩焼く煙夕されば行き過ぎかねて山にたなびく","なはのうらに しほやくけぶり ゆふされば ゆきすぎかねて やまにたなびく","なし","なし","雑歌 作者：日置少老 縄嬥浦 兵庫 羈旅 地名","なはのうらに[寛],#しほやくけぶり,[寛]しほやくけふり,#ゆふされば,[寛]ゆふされは,#ゆきすぎかねて,[寛]ゆきすきかねて,#やまにたなびく,[寛]やまにたなひく,##"
03/0355,"生石村主真人歌一首","大汝 小彦名乃 将座 志都乃石室者 幾代将經","大汝少彦名のいましけむ志都の石屋は幾代経にけむ","おほなむち すくなひこなの いましけむ しつのいはやは いくよへにけむ","なし","なし","雑歌 作者：生石真人 静嬥岩屋 島根 羈旅 地名","おほなむち[寛],#すくなひこなの[寛],#いましけむ,[寛]いましなむ,#しつのいはやは[寛],#いくよへにけむ,[寛]いくよへぬらむ,##"
03/0356,"上古麻呂歌一首","今日可聞 明日香河乃 夕不離 川津鳴瀬之 清有良武 [或本歌發句云 明日香川今毛可毛等奈]","今日もかも明日香の川の夕さらずかはづ鳴く瀬のさやけくあるらむ [或本歌發句云 明日香川今もかもとな]","けふもかも あすかのかはの ゆふさらず かはづなくせの さやけくあるらむ [あすかがは いまもかもとな]","なし","なし","雑歌 作者：上古麻呂 飛鳥川 地名","けふもかも[寛],#あすかのかはの[寛],#ゆふさらず,[寛]ゆふさらす,#かはづなくせの,[寛]かわつなくせの,#さやけくあるらむ,[寛]きよくあるらむ,#[あすかがは,いまもかもとな]##"
03/0357,"山部宿祢赤人歌六首","縄浦従 背向尓所見 奥嶋 榜廻舟者 釣為良下","縄の浦ゆそがひに見ゆる沖つ島漕ぎ廻る舟は釣りしすらしも","なはのうらゆ そがひにみゆる おきつしま こぎみるふねは つりしすらしも","なし","なし","雑歌 作者：山部赤人 縄嬥浦 兵庫 羈旅 地名","なはのうらゆ,[寛]なはのうらを,#そがひにみゆる,[寛]そかひにみゆる,#おきつしま[寛],#こぎみるふねは,[寛]こきたむふねは,#つりしすらしも,[寛]つりをすらしも,##"
03/0358,"（山部宿祢赤人歌六首）","武庫浦乎 榜轉小舟 粟嶋矣 背尓見乍 乏小舟","武庫の浦を漕ぎ廻る小舟粟島をそがひに見つつ羨しき小舟","むこのうらを こぎみるをぶね あはしまを そがひにみつつ ともしきをぶね","なし","なし","雑歌 作者：山部赤人 武庫嬥浦 兵庫 羈旅 地名","むこのうらを[寛],#こぎみるをぶね,[寛]こきたむをふね,#あはしまを[寛],#そがひにみつつ,[寛]そかひにみつつ,#ともしきをぶね,[寛]ともしきをふね,##"
03/0359,"（山部宿祢赤人歌六首）","阿倍乃嶋 宇乃住石尓 依浪 間無比来 日本師所念","阿倍の島鵜の住む磯に寄する波間なくこのころ大和し思ほゆ","あへのしま うのすむいそに よするなみ まなくこのころ やまとしおもほゆ","なし","なし","雑歌 作者：山部赤人 阿倍嬥島 大阪 和歌山 羈旅 望郷 地名","あへのしま[寛],#うのすむいそに,[寛]うのすむいしに,#よするなみ,[寛]よるなみの,#まなくこのころ[寛],#やまとしおもほゆ[寛],##"
03/0360,"（山部宿祢赤人歌六首）","塩干去者 玉藻苅蔵 家妹之 濱褁乞者 何矣示","潮干なば玉藻刈りつめ家の妹が浜づと乞はば何を示さむ","しほひなば たまもかりつめ いへのいもが はまづとこはば なにをしめさむ","なし","なし","雑歌 作者：山部赤人 羈旅 植物 牫侄げ","しほひなば,[寛]しほひなは,#たまもかりつめ[寛],#いへのいもが,[寛]いへのいもか,#はまづとこはば,[寛]はまつとこはは,#なにをしめさむ[寛],##"
03/0361,"（山部宿祢赤人歌六首）","秋風乃 寒朝開乎 佐農能岡 将超公尓 衣借益矣","秋風の寒き朝明を佐農の岡越ゆらむ君に衣貸さましを","あきかぜの さむきあさけを さぬのをか こゆらむきみに きぬかさましを","なし","なし","雑歌 作者：山部赤人 羈旅 地名 兵庫県","あきかぜの,[寛]あきかせの,#さむきあさけを[寛],#さぬのをか,[寛]さののをか,#こゆらむきみに[寛],#きぬかさましを[寛],##"
03/0362,"（山部宿祢赤人歌六首）","美沙居 石轉尓生 名乗藻乃 名者告志<弖>余 親者知友","みさご居る磯廻に生ふるなのりその名は告らしてよ親は知るとも","みさごゐる いそみにおふる なのりその なはのらしてよ おやはしるとも","なし","五 -> 弖 [万葉集代匠記]","雑歌 作者：山部赤人 羈旅 動物 植物 序詞","みさごゐる,[寛]みさこゐる,#いそみにおふる,[寛]いそわにおふる,#なのりその[寛],#なはのらしてよ,[寛]なはつけしこよ,#おやはしるとも[寛],##"
03/0363,"（山部宿祢赤人歌六首）或本歌曰","美沙居 荒礒尓生 名乗藻乃 <吉>名者告世 父母者知友","みさご居る荒磯に生ふるなのりそのよし名は告らせ親は知るとも","みさごゐる ありそにおふる なのりその よしなはのらせ おやはしるとも","なし","告 -> 吉 [万葉集略解]","雑歌 作者：山部赤人 羈旅 異伝 動物 植物 序詞","みさごゐる,[寛]みさこゐる,#ありそにおふる,[寛]あらいそにおふる,#なのりその[寛],#よしなはのらせ,[寛]なのりはつけよ,#おやはしるとも[寛],##"
03/0364,"笠朝臣金村塩津山作歌二首","大夫之 弓上振起 射都流矢乎 後将見人者 語継金","ますらをの弓末振り起し射つる矢を後見む人は語り継ぐがね","ますらをの ゆずゑふりおこし いつるやを のちみむひとは かたりつぐがね","なし","なし","雑歌 作者：笠金村 滋賀県 羈旅 地名","ますらをの[寛],#ゆずゑふりおこし,[寛]ゆすえふりおこし,#いつるやを[寛],#のちみむひとは[寛],#かたりつぐがね,[寛]かたりつくかね,##"
03/0365,"（笠朝臣金村塩津山作歌二首）","塩津山 打越去者 我乗有 馬曽爪突 家戀良霜","塩津山打ち越え行けば我が乗れる馬ぞつまづく家恋ふらしも","しほつやま うちこえゆけば あがのれる うまぞつまづく いへこふらしも","なし","なし","雑歌 作者：笠金村 滋賀県 羈旅 地名","しほつやま[寛],#うちこえゆけば,[寛]うちこえゆけは,#あがのれる,[寛]わかのれる,#うまぞつまづく,[寛]うまそつまつく,#いへこふらしも[寛],##"
03/0366,"角鹿津乗船時笠朝臣金村作歌一首[并短歌]","越海之 角鹿乃濱従 大舟尓 真梶貫下 勇魚取 海路尓出而 阿倍寸管 我榜行者 大夫乃 手結我浦尓 海未通女 塩焼炎 草枕 客之有者 獨為而 見知師無美 綿津海乃 手二巻四而有 珠手次 懸而之努櫃 日本嶋根乎","越の海の 角鹿の浜ゆ 大船に 真楫貫き下ろし 鯨魚取り 海道に出でて 喘きつつ 我が漕ぎ行けば ますらをの 手結が浦に 海女娘子 塩焼く煙 草枕 旅にしあれば ひとりして 見る験なみ 海神の 手に巻かしたる 玉たすき 懸けて偲ひつ 大和島根を","こしのうみの つのがのはまゆ おほぶねに まかぢぬきおろし いさなとり うみぢにいでて あへきつつ わがこぎゆけば ますらをの たゆひがうらに あまをとめ しほやくけぶり くさまくら たびにしあれば ひとりして みるしるしなみ わたつみの てにまかしたる たまたすき かけてしのひつ やまとしまねを","なし","歌 [西] 謌","雑歌 作者：笠金村 敦賀 福井 羈旅 望郷 地名 枕詞","こしのうみの[寛],#つのがのはまゆ,[寛]つのかのはまゆ,#おほぶねに,[寛]おほふねに,#まかぢぬきおろし,[寛]まかちぬきをろし,#いさなとり[寛],#うみぢにいでて,[寛]うみちにいてて,#あへきつつ[寛],#わがこぎゆけば,[寛]わかこきゆけは,#ますらをの[寛],#たゆひがうらに,[寛]たゆひかうらに,#あまをとめ[寛],#しほやくけぶり,[寛]しほやくけふり,#くさまくら[寛],#たびにしあれば,[寛]たひにしあれは,#ひとりして[寛],#みるしるしなみ[寛],#わたつみの[寛],#てにまかしたる[寛],#たまたすき[寛],#かけてしのひつ[寛],#やまとしまねを[寛],##"
03/0367,"（角鹿津乗船時笠朝臣金村作歌一首[并短歌]）反歌","越海乃 手結之浦<矣> 客為而 見者乏見 日本思櫃","越の海の手結が浦を旅にして見れば羨しみ大和偲ひつ","こしのうみの たゆひがうらを たびにして みればともしみ やまとしのひつ","なし","原字不明 -> 矣 [西（訂正）]","雑歌 作者：笠金村 敦賀 福井 羈旅 望郷 地名","こしのうみの[寛],#たゆひがうらを,[寛]たゆひのうらを,#たびにして,[寛]たひにして,#みればともしみ,[寛]みれはともしみ,#やまとしのひつ,[寛]やまとおもひつ,##"
03/0368,"石上大夫歌一首","大船二 真梶繁貫 大王之 御命恐 礒廻為鴨","大船に真楫しじ貫き大君の命畏み磯廻するかも","おほぶねに まかぢしじぬき おほきみの みことかしこみ いそみするかも","右今案 石上朝臣乙麻呂任越前國守盖此大夫歟","なし","雑歌 作者：石上乙麻呂 越前 福井 羈旅","おほぶねに,[寛]おほふねに,#まかぢしじぬき,[寛]まかちしぬき,#おほきみの[寛],#みことかしこみ[寛],#いそみするかも,[寛]あさりするかも,##"
03/0369,"（石上大夫歌一首）和歌一首","物部乃 臣之壮士者 大王<之> 任乃随意 聞跡云物曽","物部の臣の壮士は大君の任けのまにまに聞くといふものぞ","もののふの おみのをとこは おほきみの まけのまにまに きくといふものぞ","右作者未審 但笠朝臣金村之歌中出也","歌 [西] 謌 / <> -> 之 [紀]","雑歌 作者：石上乙麻呂 越前 福井 羈旅","もののふの[寛],#おみのをとこは,[寛]おみのたけをは,#おほきみの[寛],#まけのまにまに,[寛]よさしのままに,#きくといふものぞ,[寛]きくといふものそ,##"
